"","Site","Tissue","PCT.AG","ag.logit.z","PCT.DEV","dev.logit.z","BMP","BMP.z","Observation","Total_PCB","Pentachlorobenzene","Hexachlorobenzene","Heptachlor","Octachlorostyrene","o,p'-DDE","p,p'-DDE","o,p'-DDT","Mirex","Galaxolide","Tonalide","Bromacil","Carbazole","Chlorpyrifos","Diazinon","Prometon","Diethyl phthalate","Diethylhexylphthalate (DEHP)","Tributyl phosphate (TBP)","Tris(2-chloroethyl)phosphate (TCEP)","Triphenyl phosphate (TPP)","1-methyl naphthalene","2,6-dimethyl naphthalene","2-methyl naphthalene","Anthracene","Fluoranthene","Naphthalene","Phenanthrene","Pyrene","Acetophenone","Anthraquinone","Benzophenone","Caffeine","Camphor","Cotinine","Ethyl citrate","Indole","Isophorone","Menthol","Methyl salicylate","Methyl Triclosan","N,N-diethyltoluamide (DEET)","p-Octylphenol","Traseolide","d-limonene","triethyl citrate"
"53","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,53,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"54","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,54,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"55","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,55,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"56","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,56,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"57","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,57,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"58","LOY","Ovary",0.1679861455,-0.2804492382055,0.6499257793,2.36591645324886,0.002646,-0.532824628782038,58,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"59","LOY","Ovary",0.1679861455,-0.2804492382055,0.6499257793,2.36591645324886,0.002646,-0.532824628782038,59,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60","LOY","Ovary",0.1679861455,-0.2804492382055,0.6499257793,2.36591645324886,0.002646,-0.532824628782038,60,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"61","LOY","Ovary",0.1679861455,-0.2804492382055,0.6499257793,2.36591645324886,0.002646,-0.532824628782038,61,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"62","LOY","Ovary",0.1679861455,-0.2804492382055,0.6499257793,2.36591645324886,0.002646,-0.532824628782038,62,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"63","LOY","Ovary",0.1679861455,-0.2804492382055,0.6499257793,2.36591645324886,0.002646,-0.532824628782038,63,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"78","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,78,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"79","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,79,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"80","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,80,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"81","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,81,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"82","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,82,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"83","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,83,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"84","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,84,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
